paper_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
"Aafjes-van Doorn et al., 2023",1,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1
"Alderfer et al., 2023",1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,0,1,0
"Allinson & Berle, 2023",0,0,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0
"An et al., 2022",1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0,0,1,0
"Armour et al., 2012",0,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,1,0,0,1,0
"Bastien et al., 2023",1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,0,0,0
"Bryant et al., 2015",0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0
"Campbell-Sills et al., 2023",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Chen et al., 2022",0,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0
"Cheng et al., 2019",1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,0
"Dell et al., 2022",0,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0
"Djelantik et al., 2022",1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0
"Dokkedahl et al., 2022",0,0,1,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0
"Elklit et al., 2023",0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,1,0,0
"Feder et al., 2016",1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0
"Fink et al., 2017",1,1,1,0,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0
"Galatzer-Levy et al., 2011",1,0,1,0,1,1,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0
"Galatzer-Levy et al., 2017",1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,0
"Galovski et al., 2018",0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0
"Herd et al., 2022",1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0
"Hiller et al., 2016",1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0
"Hinricks et al., 2019",1,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0
"Hong et al., 2014",1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0
"Huang et al., 2023",0,0,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0
"Huber et al., 2022",1,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0
"Hung et al., 2019",1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0
"Jhone & Lee, 2022",1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0
"Jiang et al., 2022",1,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,0
"Johannesson et al., 2015",1,0,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1,1,0,0,0
"Jordan et al., 2023",0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0
"Karstoft et al., 2013",0,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0
"Kogan et al., 2023",0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,1,1,1,0
"La Greca et al., 2013",1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0
"Lai et al., 2021",1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0
"Le Brocque et al., 2010b",1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,0
"Le Brocque et al., 2020",1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0
"Le Broucque et al., 2010a",1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,0,0
"Lenferink et al., 2020",1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0
"Liang et al., 2019",1,0,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0
Lowe et al. 2021a,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,0
Lowe et al. 2021b,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0
"Lowe et al., 2014",1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0
"Lowe et al., 2015",0,1,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0
"López‐Castro et al., 2023",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Malaju et al., 2022",1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0
"Maslow et al., 2015",0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0
"McDonald et al., 2019",1,0,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0
"McPhelson et al., 2020",1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0
"Meijer et al., 2019",0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,0,0
"Meli et al., 2020",1,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0
"Miller-Graff & Howell, 2015",1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0
"Moye et al., 2023",1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0
"Muscara et al., 2018",1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0
"Norris et al., 2011",1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0
"Nugent et al., 2009",1,1,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1,0
"Orcutt et al., 2004",0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0
"Palmer et al., 2019",0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0
"Palmer et al., 2023",0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0
"Pietrzak et al., 2013",1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0
"Porter et al., 2017",0,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0
"Pozzato et al., 2020",1,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,0,0
"Punamaki et al., 2015",0,0,0,1,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0
"Roberson, 2016",1,1,1,1,1,0,1,0,0,1,1,1,1,1,0,1,0,0,1,1,0
"Saito et al., 2022",0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0
"Sakuma et al., 2020",1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,1,0
"Sampson et al., 2015",0,0,1,0,1,1,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0
"Schulterbraucks et al., 2020",0,1,1,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1,1,1,0
"Self-Brown et al., 2013",1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,1,0
"Self-Brown et al., 2014",1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
"Sharp et al., 2021",1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0
"Shevlin et al., 2023",0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0
"Shi et al., 2018",1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"Shigemoto, 2021",0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0
"Sigurdadottir et al., 2014",1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0
"Solomon et al., 2018",1,0,1,1,1,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0
"Steenkamp et al., 2012",1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0
"Thormar et al., 2016",1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1
"Tomas et al., 2022",1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0
"Truss et al., 2017",1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,0,1,1,1,1,0
"Van Loey et al., 2012",1,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0
"Wang et al., 2018",0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0
"Wang et al., 2023",1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0
"Waszczuk et al., 2020",0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0
"Wendlandt et al., 2023",1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
"Zerach et al., 2021",1,0,1,1,1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0
"Zhang et al., 2022",0,0,1,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,0
"Zhou & Wu, 2021",1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0
"deRoon-Cassini et al., 2010",1,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1
"van Zuiden et al., 2022",0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,0
"van de Schoot et al., 2018",1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1
